Refinery configuration,Config,Capture Scenario,Year,PADD,Scenario,API,Sul,"Crude Throughput, bpd","Total Avoided CO2_Avg,kt/y","Avoidance Cost Ref, $/t","Avoidance Cost 0.5Ref, $/t","Avoidance Cost 1.5Ref, $/t"
Medium Conversion: FCC & GO-HC (3),3,No Carbon Capture,2050,PADD1,LOW,HEAVY,SOUR,89115.14903,0,0,0,0
Medium Conversion: FCC & GO-HC (3),3,ADU/VDU,2050,PADD1,LOW,HEAVY,SOUR,89115.14903,139.0900855,303.0035899,301.9639501,305.5675849
Medium Conversion: FCC & GO-HC (3),3,CNR,2050,PADD1,LOW,HEAVY,SOUR,89115.14903,199.8842578,288.0175522,287.239091,289.9374197
Medium Conversion: FCC & GO-HC (3),3,FCC/RFCC,2050,PADD1,LOW,HEAVY,SOUR,89115.14903,79.62120108,250.5635415,247.1257214,259.0420107
Medium Conversion: FCC & GO-HC (3),3,Coker,2050,PADD1,LOW,HEAVY,SOUR,89115.14903,74.82220893,339.511731,338.3415768,342.3976053
Medium Conversion: FCC & GO-HC (3),3,Hydrotreater,2050,PADD1,LOW,HEAVY,SOUR,89115.14903,63.69824834,348.4988427,346.7105887,352.9090956
Medium Conversion: FCC & GO-HC (3),3,Steam Boiler,2050,PADD1,LOW,HEAVY,SOUR,89115.14903,28.544265,431.5361115,428.9849986,437.8277531
Medium Conversion: FCC & GO-HC (3),3,SMR,2050,PADD1,LOW,HEAVY,SOUR,89115.14903,0,0,0,0
Medium Conversion: FCC & GO-HC (3),3,Others,2050,PADD1,LOW,HEAVY,SOUR,89115.14903,20.29250371,483.5470561,478.6179391,495.7034122
Deep Conversion: FCC (4),4,No Carbon Capture,2050,PADD1,LOW,HEAVY,SOUR,84221.75049,0,0,0,0
Deep Conversion: FCC (4),4,ADU/VDU,2050,PADD1,LOW,HEAVY,SOUR,84221.75049,127.4494505,310.7152967,309.6225404,313.4102897
Deep Conversion: FCC (4),4,CNR,2050,PADD1,LOW,HEAVY,SOUR,84221.75049,74.11342619,341.5960589,340.6522366,343.9237457
Deep Conversion: FCC (4),4,FCC/RFCC,2050,PADD1,LOW,HEAVY,SOUR,84221.75049,152.8855609,214.3685815,213.0506385,217.6189375
Deep Conversion: FCC (4),4,Coker,2050,PADD1,LOW,HEAVY,SOUR,84221.75049,58.72520186,354.2123554,352.9601335,357.3006279
Deep Conversion: FCC (4),4,Hydrotreater,2050,PADD1,LOW,HEAVY,SOUR,84221.75049,96.73147798,326.5089717,324.8417085,330.620833
Deep Conversion: FCC (4),4,Steam Boiler,2050,PADD1,LOW,HEAVY,SOUR,84221.75049,20.00497972,469.033603,466.2630228,475.8665024
Deep Conversion: FCC (4),4,SMR,2050,PADD1,LOW,HEAVY,SOUR,84221.75049,3.345032853,1186.758303,1031.709451,1569.145065
Deep Conversion: FCC (4),4,Others,2050,PADD1,LOW,HEAVY,SOUR,84221.75049,23.72487975,447.9372336,444.2787851,456.959824
